Sector,Tiene_parqueadero,Precio_venta_COP,Estrato,Area_construida_m2,Distancia_CC_San_Nicolas_km,Urbana_Rural,Tiene_conjunto_cerrado,Topografia
Corregimiento Centro (Río Abajo),1,883019455,4,173.7,5.84,Rural,0,Ondulada
Corregimiento Norte (Galicia/La Mosca),1,551386243,2,174.2,11.76,Rural,0,Montañosa y Quebrada
Comuna 3 (Uribe Jaramillo),0,250640081,3,53.8,2.56,Urbana,0,Plana y Ondulada
Corregimiento Sur (Cabeceras),0,1387518820,6,139.0,11.91,Rural,1,Ondulada
Comuna 2 (San Antonio),1,474195845,3,104.7,3.38,Urbana,1,Plana
Comuna 4 (El Porvenir),1,325917113,3,66.1,2.44,Urbana,1,Plana
Corregimiento Norte (Galicia/La Mosca),1,636203611,2,170.3,12.09,Rural,1,Montañosa y Quebrada
Comuna 3 (Uribe Jaramillo),0,315556767,2,68.6,2.0,Urbana,0,Plana y Ondulada
Corregimiento Occidente (Llanogrande),1,3341874537,6,420.5,10.88,Rural,1,Plana y levemente ondulada
Corregimiento Centro (Río Abajo),0,907951849,4,204.7,6.06,Rural,0,Ondulada
Comuna 4 (El Porvenir),0,392744947,4,49.1,3.01,Urbana,1,Plana
Corregimiento Occidente (Llanogrande),1,3637463543,6,352.0,12.37,Rural,1,Plana y levemente ondulada
Corregimiento Centro (Río Abajo),1,935242431,3,211.9,4.61,Rural,0,Ondulada
Comuna 4 (El Porvenir),1,379718017,4,60.3,2.75,Urbana,1,Plana
Comuna 2 (San Antonio),1,400682054,5,69.5,3.43,Urbana,1,Plana
Comuna 3 (Uribe Jaramillo),0,231183409,3,64.0,2.23,Urbana,0,Plana y Ondulada
Comuna 4 (El Porvenir),1,395076655,3,76.8,2.45,Urbana,1,Plana
Corregimiento Sur (Cabeceras),1,1623503475,4,170.0,15.41,Rural,1,Ondulada
Corregimiento Norte (Galicia/La Mosca),1,573503886,2,179.2,10.65,Rural,0,Montañosa y Quebrada
Comuna 1 (Centro Histórico),0,304091321,2,72.1,1.49,Urbana,0,Mayormente Plana
Corregimiento Sur (Cabeceras),1,750861646,4,190.0,11.98,Rural,1,Ondulada
Corregimiento Sur (Cabeceras),1,1438601257,4,174.8,17.51,Rural,1,Ondulada
Corregimiento Norte (Galicia/La Mosca),1,712649539,2,113.6,10.67,Rural,0,Montañosa y Quebrada
Comuna 1 (Centro Histórico),0,314905024,4,75.3,1.34,Urbana,0,Mayormente Plana
Corregimiento Sur (Cabeceras),1,1413398857,4,200.8,11.51,Rural,1,Ondulada
Comuna 4 (El Porvenir),1,370371145,3,57.3,2.72,Urbana,1,Plana
Comuna 4 (El Porvenir),1,389212679,3,82.8,3.34,Urbana,0,Plana
Comuna 4 (El Porvenir),1,252125834,4,86.9,3.03,Urbana,1,Plana
Comuna 1 (Centro Histórico),1,297642879,2,55.4,1.38,Urbana,0,Mayormente Plana
Corregimiento Sur (Cabeceras),0,1394569565,4,139.8,15.32,Rural,1,Ondulada
Corregimiento Centro (Río Abajo),1,765077423,4,198.1,5.87,Rural,0,Ondulada
Comuna 1 (Centro Histórico),0,256550607,4,58.0,1.5,Urbana,0,Mayormente Plana
Comuna 4 (El Porvenir),1,379048115,3,66.8,2.68,Urbana,0,Plana
Corregimiento Norte (Galicia/La Mosca),0,546148343,3,133.7,5.12,Rural,0,Montañosa y Quebrada
Corregimiento Sur (Cabeceras),1,1975220099,5,251.0,15.77,Rural,1,Ondulada
Corregimiento Sur (Cabeceras),1,1311514378,4,209.4,16.86,Rural,1,Ondulada
Corregimiento Occidente (Llanogrande),1,3514919308,5,355.3,15.92,Rural,0,Plana y levemente ondulada
Corregimiento Occidente (Llanogrande),1,3719497999,6,314.6,12.03,Rural,1,Plana y levemente ondulada
Comuna 2 (San Antonio),1,328399347,3,66.4,2.89,Urbana,1,Plana
Corregimiento Centro (Río Abajo),0,862269805,4,197.7,5.34,Rural,0,Ondulada
Corregimiento Centro (Río Abajo),0,627739749,3,167.4,5.45,Rural,0,Ondulada
Comuna 3 (Uribe Jaramillo),0,260432672,2,61.4,2.2,Urbana,0,Plana y Ondulada
Corregimiento Centro (Río Abajo),0,719611259,4,154.7,6.1,Rural,0,Ondulada
Corregimiento Occidente (Llanogrande),1,4060677816,5,372.3,14.63,Rural,1,Plana y levemente ondulada
Comuna 1 (Centro Histórico),0,221251011,4,54.1,1.87,Urbana,0,Mayormente Plana
Corregimiento Centro (Río Abajo),1,904908820,4,179.7,4.31,Rural,0,Ondulada
Corregimiento Occidente (Llanogrande),0,3719666780,5,380.4,11.97,Rural,1,Plana y levemente ondulada
Comuna 2 (San Antonio),0,478022472,3,82.7,3.16,Urbana,1,Plana
Corregimiento Sur (Cabeceras),1,1077712794,5,189.8,18.84,Rural,1,Ondulada
Corregimiento Centro (Río Abajo),1,843138313,4,191.2,7.26,Rural,1,Ondulada
Comuna 2 (San Antonio),0,406012679,5,87.6,3.21,Urbana,1,Plana
Corregimiento Sur (Cabeceras),1,1727582936,6,227.6,15.14,Rural,1,Ondulada
Corregimiento Norte (Galicia/La Mosca),1,713288512,4,153.3,8.2,Rural,0,Montañosa y Quebrada
Corregimiento Norte (Galicia/La Mosca),1,453840982,3,172.4,9.87,Rural,1,Montañosa y Quebrada
Corregimiento Sur (Cabeceras),1,1559521639,6,228.2,12.34,Rural,0,Ondulada
Corregimiento Centro (Río Abajo),1,935265168,3,174.8,6.5,Rural,0,Ondulada
Comuna 3 (Uribe Jaramillo),0,219511643,2,62.6,2.05,Urbana,0,Plana y Ondulada
Corregimiento Occidente (Llanogrande),0,3838572829,5,326.6,13.85,Rural,1,Plana y levemente ondulada
Comuna 1 (Centro Histórico),0,286947670,3,66.3,1.86,Urbana,0,Mayormente Plana
Comuna 1 (Centro Histórico),1,208140230,4,74.7,1.74,Urbana,1,Mayormente Plana
Comuna 4 (El Porvenir),1,322553986,3,69.1,2.45,Urbana,1,Plana
Corregimiento Sur (Cabeceras),1,1409379651,4,171.1,13.73,Rural,1,Ondulada
Comuna 1 (Centro Histórico),0,291708931,4,77.0,1.54,Urbana,0,Mayormente Plana
Corregimiento Centro (Río Abajo),1,591392291,3,170.3,5.85,Rural,0,Ondulada
Comuna 3 (Uribe Jaramillo),1,306932947,2,50.4,1.87,Urbana,0,Plana y Ondulada
Corregimiento Sur (Cabeceras),0,1096586120,6,214.0,14.15,Rural,1,Ondulada
Comuna 3 (Uribe Jaramillo),0,293233704,2,56.3,1.54,Urbana,0,Plana y Ondulada
Corregimiento Centro (Río Abajo),1,865609922,3,213.7,7.0,Rural,0,Ondulada
Comuna 1 (Centro Histórico),1,272712419,4,81.6,1.31,Urbana,0,Mayormente Plana
Comuna 1 (Centro Histórico),0,322686955,4,75.0,1.4,Urbana,0,Mayormente Plana
Comuna 4 (El Porvenir),0,300273988,4,55.9,2.65,Urbana,1,Plana
Comuna 1 (Centro Histórico),1,389041981,4,55.4,1.52,Urbana,0,Mayormente Plana
Corregimiento Sur (Cabeceras),1,1301640621,5,220.1,14.69,Rural,1,Ondulada
Corregimiento Centro (Río Abajo),1,954048732,4,181.3,6.29,Rural,0,Ondulada
Corregimiento Norte (Galicia/La Mosca),1,683189345,4,160.0,11.76,Rural,1,Montañosa y Quebrada
Corregimiento Centro (Río Abajo),1,798345991,3,158.9,4.94,Rural,0,Ondulada
Corregimiento Sur (Cabeceras),1,1440259648,4,187.0,10.4,Rural,1,Ondulada
Corregimiento Sur (Cabeceras),1,1837138865,5,225.8,13.57,Rural,1,Ondulada
Comuna 4 (El Porvenir),1,344197117,4,71.0,2.37,Urbana,1,Plana
Comuna 4 (El Porvenir),1,344428070,3,60.4,2.33,Urbana,1,Plana
Comuna 1 (Centro Histórico),0,272174698,4,90.6,1.69,Urbana,1,Mayormente Plana
Comuna 2 (San Antonio),1,454129799,5,80.2,3.42,Urbana,1,Plana
Corregimiento Centro (Río Abajo),1,666149600,3,153.8,6.77,Rural,1,Ondulada
Corregimiento Centro (Río Abajo),1,789328576,4,168.4,6.41,Rural,0,Ondulada
Comuna 2 (San Antonio),1,406407659,5,78.4,3.04,Urbana,0,Plana
Comuna 4 (El Porvenir),1,321209169,4,67.6,2.17,Urbana,1,Plana
Comuna 1 (Centro Histórico),0,277808793,3,88.4,1.22,Urbana,0,Mayormente Plana
Comuna 2 (San Antonio),1,388510323,4,95.8,3.35,Urbana,1,Plana
Comuna 1 (Centro Histórico),0,278098984,3,103.0,1.47,Urbana,0,Mayormente Plana
Comuna 1 (Centro Histórico),0,344837479,4,89.5,1.62,Urbana,0,Mayormente Plana
Comuna 1 (Centro Histórico),0,344628761,2,66.5,1.5,Urbana,0,Mayormente Plana
Corregimiento Occidente (Llanogrande),1,3538138212,5,429.8,15.42,Rural,1,Plana y levemente ondulada
Corregimiento Sur (Cabeceras),1,1309205959,5,197.4,18.08,Rural,1,Ondulada
Comuna 1 (Centro Histórico),0,309276092,4,70.0,1.54,Urbana,0,Mayormente Plana
Corregimiento Occidente (Llanogrande),1,3967745061,5,418.1,10.57,Rural,1,Plana y levemente ondulada
Comuna 4 (El Porvenir),0,279752223,4,82.2,1.58,Urbana,1,Plana
Comuna 2 (San Antonio),1,481299651,5,86.0,3.64,Urbana,0,Plana
Corregimiento Sur (Cabeceras),1,1356443213,5,208.5,14.0,Rural,1,Ondulada
Corregimiento Norte (Galicia/La Mosca),1,596017920,4,163.7,12.46,Rural,0,Montañosa y Quebrada
Comuna 2 (San Antonio),1,376306914,3,90.4,4.18,Urbana,1,Plana
Corregimiento Sur (Cabeceras),1,1434488152,6,213.2,15.63,Rural,1,Ondulada
Corregimiento Norte (Galicia/La Mosca),1,556646973,3,118.4,10.28,Rural,0,Montañosa y Quebrada
Comuna 2 (San Antonio),1,351272208,5,82.8,3.18,Urbana,1,Plana
Corregimiento Sur (Cabeceras),1,1574248431,5,194.2,11.45,Rural,1,Ondulada
Comuna 2 (San Antonio),1,513492408,4,97.9,2.89,Urbana,1,Plana
Comuna 2 (San Antonio),1,435616398,5,66.9,3.42,Urbana,1,Plana
Corregimiento Norte (Galicia/La Mosca),1,597060969,2,167.3,10.61,Rural,0,Montañosa y Quebrada
Comuna 2 (San Antonio),1,427197840,3,92.9,3.56,Urbana,1,Plana
Comuna 2 (San Antonio),1,437837095,3,73.6,3.39,Urbana,1,Plana
Corregimiento Norte (Galicia/La Mosca),1,729963390,3,179.3,8.52,Rural,0,Montañosa y Quebrada
Comuna 4 (El Porvenir),1,338949378,3,64.2,2.46,Urbana,1,Plana
Comuna 1 (Centro Histórico),0,445927443,2,87.4,1.67,Urbana,0,Mayormente Plana
Corregimiento Centro (Río Abajo),1,811844476,3,146.3,5.44,Rural,1,Ondulada
Comuna 3 (Uribe Jaramillo),0,263536872,2,70.1,1.88,Urbana,0,Plana y Ondulada
Corregimiento Occidente (Llanogrande),1,2810720687,5,303.8,13.67,Rural,1,Plana y levemente ondulada
Comuna 3 (Uribe Jaramillo),1,252886579,2,55.2,2.07,Urbana,0,Plana y Ondulada
Comuna 3 (Uribe Jaramillo),1,276501568,3,61.9,2.64,Urbana,0,Plana y Ondulada
Corregimiento Sur (Cabeceras),1,1816689843,6,171.7,8.84,Rural,1,Ondulada
Comuna 1 (Centro Histórico),0,286536818,4,59.5,1.6,Urbana,1,Mayormente Plana
Corregimiento Sur (Cabeceras),1,1666086326,4,194.4,15.68,Rural,1,Ondulada
Comuna 1 (Centro Histórico),0,321370612,4,65.9,1.57,Urbana,0,Mayormente Plana
Corregimiento Norte (Galicia/La Mosca),1,676364646,4,122.2,10.46,Rural,1,Montañosa y Quebrada
Corregimiento Norte (Galicia/La Mosca),1,531016820,2,138.2,6.92,Rural,0,Montañosa y Quebrada
Corregimiento Centro (Río Abajo),1,801598522,3,243.6,7.08,Rural,0,Ondulada
Comuna 1 (Centro Histórico),0,284873403,3,61.5,1.37,Urbana,0,Mayormente Plana
Comuna 2 (San Antonio),1,473250034,3,94.2,3.32,Urbana,1,Plana
Comuna 4 (El Porvenir),1,294450226,3,52.1,3.06,Urbana,1,Plana
Corregimiento Centro (Río Abajo),1,624860612,4,200.7,5.34,Rural,0,Ondulada
Corregimiento Centro (Río Abajo),1,626334385,3,196.2,7.68,Rural,0,Ondulada
Comuna 2 (San Antonio),1,491204700,5,76.0,4.31,Urbana,1,Plana
Comuna 4 (El Porvenir),1,390455539,3,56.1,2.11,Urbana,1,Plana
Corregimiento Sur (Cabeceras),0,1650250851,5,162.5,11.12,Rural,1,Ondulada
Comuna 4 (El Porvenir),0,374527420,3,64.4,2.41,Urbana,0,Plana
Corregimiento Sur (Cabeceras),1,1601598186,5,208.0,15.87,Rural,1,Ondulada
Corregimiento Norte (Galicia/La Mosca),1,516597373,2,158.1,12.67,Rural,0,Montañosa y Quebrada
Comuna 3 (Uribe Jaramillo),0,261473501,3,71.7,2.39,Urbana,0,Plana y Ondulada
Corregimiento Norte (Galicia/La Mosca),1,359592154,4,170.6,8.29,Rural,1,Montañosa y Quebrada
Corregimiento Norte (Galicia/La Mosca),1,642694474,4,105.7,12.26,Rural,1,Montañosa y Quebrada
Comuna 3 (Uribe Jaramillo),1,234674787,2,75.7,2.12,Urbana,0,Plana y Ondulada
Comuna 4 (El Porvenir),1,420304895,3,62.9,2.99,Urbana,1,Plana
Corregimiento Centro (Río Abajo),1,623362487,4,207.0,5.65,Rural,0,Ondulada
Comuna 4 (El Porvenir),1,281538109,4,61.4,2.71,Urbana,1,Plana
Corregimiento Sur (Cabeceras),1,1327346816,5,232.9,13.2,Rural,1,Ondulada
Comuna 2 (San Antonio),1,492890753,5,65.7,4.15,Urbana,1,Plana
Corregimiento Sur (Cabeceras),1,1604939494,5,183.9,17.56,Rural,1,Ondulada
Comuna 2 (San Antonio),1,458161724,3,75.6,3.35,Urbana,1,Plana
Corregimiento Norte (Galicia/La Mosca),1,576682435,3,146.0,9.81,Rural,0,Montañosa y Quebrada
Comuna 3 (Uribe Jaramillo),0,272783002,3,55.6,2.24,Urbana,0,Plana y Ondulada
Corregimiento Norte (Galicia/La Mosca),0,591371582,4,164.3,9.47,Rural,0,Montañosa y Quebrada
Comuna 1 (Centro Histórico),0,215497611,4,79.0,1.21,Urbana,1,Mayormente Plana
Comuna 4 (El Porvenir),1,384807169,3,64.8,2.53,Urbana,1,Plana
Comuna 2 (San Antonio),1,422408982,3,82.7,2.56,Urbana,1,Plana
Corregimiento Sur (Cabeceras),1,1689539483,4,210.9,17.51,Rural,1,Ondulada
Comuna 3 (Uribe Jaramillo),0,257964253,2,67.9,2.5,Urbana,1,Plana y Ondulada
Comuna 2 (San Antonio),1,419718227,5,79.9,3.59,Urbana,1,Plana
Corregimiento Sur (Cabeceras),1,1322115175,4,202.6,13.74,Rural,1,Ondulada
Comuna 4 (El Porvenir),1,337264278,4,87.0,2.56,Urbana,1,Plana
Corregimiento Norte (Galicia/La Mosca),1,637226374,3,172.3,9.83,Rural,0,Montañosa y Quebrada
Comuna 4 (El Porvenir),1,379299397,3,63.3,2.23,Urbana,1,Plana
Corregimiento Occidente (Llanogrande),1,3752601593,6,365.1,13.19,Rural,1,Plana y levemente ondulada
Comuna 1 (Centro Histórico),0,224677180,4,62.4,1.74,Urbana,0,Mayormente Plana
Corregimiento Occidente (Llanogrande),1,4137814116,5,301.5,7.67,Rural,1,Plana y levemente ondulada
Comuna 3 (Uribe Jaramillo),0,258904663,2,65.3,2.47,Urbana,0,Plana y Ondulada
Comuna 2 (San Antonio),1,523040683,4,81.6,3.71,Urbana,1,Plana
Comuna 3 (Uribe Jaramillo),0,175000000,3,64.5,2.14,Urbana,0,Plana y Ondulada
Corregimiento Norte (Galicia/La Mosca),0,622007029,4,134.8,7.76,Rural,0,Montañosa y Quebrada
Corregimiento Sur (Cabeceras),1,1583911610,4,178.1,15.86,Rural,0,Ondulada
Comuna 4 (El Porvenir),1,237441741,4,66.0,2.5,Urbana,1,Plana
Corregimiento Occidente (Llanogrande),0,3803412319,6,349.1,10.07,Rural,1,Plana y levemente ondulada
Corregimiento Centro (Río Abajo),0,553429437,4,156.0,6.14,Rural,1,Ondulada
Corregimiento Occidente (Llanogrande),1,3493269179,5,429.3,11.56,Rural,1,Plana y levemente ondulada
Corregimiento Norte (Galicia/La Mosca),0,657261225,2,157.8,13.32,Rural,0,Montañosa y Quebrada
Corregimiento Occidente (Llanogrande),1,3530160155,5,352.1,13.41,Rural,1,Plana y levemente ondulada
Corregimiento Norte (Galicia/La Mosca),1,736435063,2,117.9,9.83,Rural,0,Montañosa y Quebrada
Corregimiento Centro (Río Abajo),1,757269154,3,172.8,5.4,Rural,0,Ondulada
Comuna 3 (Uribe Jaramillo),0,289337526,2,63.0,2.19,Urbana,0,Plana y Ondulada
Comuna 4 (El Porvenir),1,367421284,3,61.2,2.17,Urbana,1,Plana
Comuna 2 (San Antonio),0,498600913,5,75.1,4.23,Urbana,1,Plana
Corregimiento Sur (Cabeceras),0,1756667729,5,208.8,11.63,Rural,0,Ondulada
Comuna 2 (San Antonio),1,429913350,4,96.1,3.2,Urbana,1,Plana
Comuna 3 (Uribe Jaramillo),0,286235453,3,49.1,2.03,Urbana,0,Plana y Ondulada
Corregimiento Sur (Cabeceras),1,1222769867,6,244.2,9.46,Rural,1,Ondulada
Corregimiento Occidente (Llanogrande),1,3286017038,6,260.9,12.65,Rural,1,Plana y levemente ondulada
Corregimiento Centro (Río Abajo),1,938890634,4,211.0,4.92,Rural,1,Ondulada
Corregimiento Centro (Río Abajo),1,852833633,3,158.4,7.54,Rural,0,Ondulada
Comuna 1 (Centro Histórico),0,329181570,4,85.3,1.67,Urbana,1,Mayormente Plana
Comuna 3 (Uribe Jaramillo),0,277495658,3,67.6,1.89,Urbana,0,Plana y Ondulada
Comuna 3 (Uribe Jaramillo),0,311936461,2,58.9,1.72,Urbana,0,Plana y Ondulada
Comuna 4 (El Porvenir),1,340719690,3,69.4,2.04,Urbana,1,Plana
Comuna 2 (San Antonio),1,487303518,4,97.5,3.85,Urbana,1,Plana
Comuna 3 (Uribe Jaramillo),0,266535407,3,56.1,2.06,Urbana,0,Plana y Ondulada
Comuna 3 (Uribe Jaramillo),0,218734478,3,57.1,1.98,Urbana,0,Plana y Ondulada
Corregimiento Occidente (Llanogrande),0,4171377898,6,328.5,12.4,Rural,1,Plana y levemente ondulada
Corregimiento Occidente (Llanogrande),1,4291823339,6,337.0,10.37,Rural,0,Plana y levemente ondulada
Corregimiento Sur (Cabeceras),0,1324979994,5,197.5,17.81,Rural,1,Ondulada
Corregimiento Norte (Galicia/La Mosca),1,619829096,3,141.3,12.31,Rural,0,Montañosa y Quebrada
Corregimiento Norte (Galicia/La Mosca),1,639331586,3,182.8,13.55,Rural,0,Montañosa y Quebrada
Comuna 1 (Centro Histórico),0,247848858,4,72.6,1.28,Urbana,0,Mayormente Plana
Corregimiento Norte (Galicia/La Mosca),1,658116145,2,167.6,9.58,Rural,0,Montañosa y Quebrada
Comuna 4 (El Porvenir),1,319506916,3,66.2,2.74,Urbana,1,Plana
Comuna 1 (Centro Histórico),0,304382857,2,53.7,1.67,Urbana,0,Mayormente Plana
Corregimiento Sur (Cabeceras),1,1531100678,5,246.0,12.94,Rural,1,Ondulada
Corregimiento Occidente (Llanogrande),1,3761718172,6,356.4,13.42,Rural,1,Plana y levemente ondulada
Corregimiento Norte (Galicia/La Mosca),1,599860428,2,150.4,7.96,Rural,0,Montañosa y Quebrada
Comuna 2 (San Antonio),1,357316165,5,71.2,3.09,Urbana,1,Plana
Corregimiento Occidente (Llanogrande),1,4528375286,5,341.0,11.64,Rural,1,Plana y levemente ondulada
Corregimiento Centro (Río Abajo),1,903698871,3,175.6,4.3,Rural,0,Ondulada
Comuna 4 (El Porvenir),1,452060927,4,68.6,2.92,Urbana,1,Plana
Corregimiento Occidente (Llanogrande),1,3264206763,6,423.2,9.04,Rural,1,Plana y levemente ondulada
Comuna 4 (El Porvenir),1,347376638,4,64.4,2.12,Urbana,1,Plana
Comuna 4 (El Porvenir),0,315716728,3,61.8,1.99,Urbana,1,Plana
Comuna 4 (El Porvenir),1,324958767,3,71.7,2.44,Urbana,1,Plana
Corregimiento Sur (Cabeceras),0,1948239426,6,213.3,16.35,Rural,1,Ondulada
Comuna 4 (El Porvenir),1,342067365,3,70.2,3.01,Urbana,1,Plana
Comuna 4 (El Porvenir),1,405830375,4,48.1,2.76,Urbana,1,Plana
Corregimiento Centro (Río Abajo),1,656537649,4,169.1,5.28,Rural,0,Ondulada
Comuna 2 (San Antonio),1,445436722,5,69.8,2.33,Urbana,1,Plana
Comuna 1 (Centro Histórico),0,236506455,4,45.9,1.1,Urbana,0,Mayormente Plana
Comuna 3 (Uribe Jaramillo),0,261663965,2,61.7,1.98,Urbana,0,Plana y Ondulada
Corregimiento Centro (Río Abajo),1,970480044,3,175.3,5.76,Rural,0,Ondulada
Comuna 1 (Centro Histórico),0,175000000,4,65.1,0.9,Urbana,0,Mayormente Plana
Comuna 4 (El Porvenir),1,332049530,4,53.9,1.64,Urbana,1,Plana
Comuna 2 (San Antonio),1,571570551,5,63.3,2.9,Urbana,0,Plana
Corregimiento Occidente (Llanogrande),1,3399820180,6,488.9,15.91,Rural,1,Plana y levemente ondulada
Comuna 2 (San Antonio),1,471202820,3,65.7,4.04,Urbana,1,Plana
Corregimiento Centro (Río Abajo),1,799661120,4,175.2,5.4,Rural,1,Ondulada
Comuna 4 (El Porvenir),1,417931510,3,61.4,2.64,Urbana,1,Plana
Comuna 2 (San Antonio),1,564651187,5,89.8,3.1,Urbana,1,Plana
Corregimiento Norte (Galicia/La Mosca),1,620925903,3,128.5,10.87,Rural,0,Montañosa y Quebrada
Comuna 2 (San Antonio),1,442166892,5,91.1,3.52,Urbana,1,Plana
Comuna 4 (El Porvenir),0,296193018,3,78.1,2.77,Urbana,1,Plana
Corregimiento Sur (Cabeceras),1,1374035782,4,181.4,14.1,Rural,1,Ondulada
Corregimiento Norte (Galicia/La Mosca),1,751055533,3,147.5,10.04,Rural,0,Montañosa y Quebrada
Comuna 2 (San Antonio),1,429304967,4,87.0,3.09,Urbana,1,Plana
Comuna 3 (Uribe Jaramillo),0,263933154,3,59.9,2.42,Urbana,0,Plana y Ondulada
Comuna 3 (Uribe Jaramillo),1,175000000,3,69.0,2.15,Urbana,0,Plana y Ondulada
Comuna 2 (San Antonio),1,462522990,5,73.5,3.91,Urbana,1,Plana
Corregimiento Sur (Cabeceras),1,1296956688,6,185.5,12.4,Rural,1,Ondulada
Corregimiento Occidente (Llanogrande),1,2671629325,5,426.8,12.66,Rural,1,Plana y levemente ondulada
Comuna 4 (El Porvenir),1,304079284,3,49.6,2.34,Urbana,1,Plana
Comuna 3 (Uribe Jaramillo),0,236921582,2,61.9,2.03,Urbana,0,Plana y Ondulada
Corregimiento Occidente (Llanogrande),1,3891795737,6,397.3,11.55,Rural,1,Plana y levemente ondulada
Comuna 2 (San Antonio),1,529292056,4,73.8,3.2,Urbana,0,Plana
Corregimiento Centro (Río Abajo),1,877703142,4,179.4,5.31,Rural,0,Ondulada
Corregimiento Occidente (Llanogrande),1,3785350275,5,291.3,10.36,Rural,1,Plana y levemente ondulada
Corregimiento Norte (Galicia/La Mosca),0,569658756,3,152.7,8.7,Rural,0,Montañosa y Quebrada
Comuna 1 (Centro Histórico),1,341475434,4,67.0,1.45,Urbana,0,Mayormente Plana
Comuna 3 (Uribe Jaramillo),0,244833030,2,52.5,1.68,Urbana,0,Plana y Ondulada
Comuna 2 (San Antonio),1,412078694,5,77.2,3.29,Urbana,0,Plana
Corregimiento Centro (Río Abajo),1,802209889,4,155.6,4.9,Rural,0,Ondulada
Comuna 4 (El Porvenir),1,278720817,3,80.6,1.87,Urbana,1,Plana
Corregimiento Centro (Río Abajo),1,756975805,4,163.6,6.75,Rural,0,Ondulada
Corregimiento Sur (Cabeceras),1,1281361299,5,149.8,15.17,Rural,1,Ondulada
Corregimiento Norte (Galicia/La Mosca),1,575427903,2,145.4,8.83,Rural,0,Montañosa y Quebrada
Comuna 2 (San Antonio),1,415604261,5,81.5,3.78,Urbana,1,Plana
Comuna 4 (El Porvenir),0,338214687,3,74.6,2.71,Urbana,0,Plana
Corregimiento Sur (Cabeceras),0,1289935269,4,201.5,14.97,Rural,1,Ondulada
Corregimiento Sur (Cabeceras),0,1450881582,5,220.0,14.64,Rural,1,Ondulada
Comuna 2 (San Antonio),1,520194768,4,76.3,3.4,Urbana,1,Plana
Corregimiento Norte (Galicia/La Mosca),1,706518190,3,147.5,11.11,Rural,0,Montañosa y Quebrada
Corregimiento Occidente (Llanogrande),1,3343057867,6,417.9,10.01,Rural,1,Plana y levemente ondulada
Corregimiento Occidente (Llanogrande),1,3510630340,5,371.6,12.97,Rural,1,Plana y levemente ondulada
Corregimiento Sur (Cabeceras),1,1326377716,6,251.4,13.73,Rural,1,Ondulada
Corregimiento Occidente (Llanogrande),0,2988113773,6,389.8,10.06,Rural,0,Plana y levemente ondulada
Comuna 1 (Centro Histórico),0,372772502,4,72.8,1.6,Urbana,1,Mayormente Plana
Corregimiento Sur (Cabeceras),1,1327604305,6,165.6,12.37,Rural,1,Ondulada
Corregimiento Sur (Cabeceras),0,1427894723,5,190.9,13.54,Rural,1,Ondulada
Comuna 4 (El Porvenir),0,310482240,3,79.4,2.81,Urbana,1,Plana
Corregimiento Occidente (Llanogrande),1,4016864498,6,393.6,13.8,Rural,1,Plana y levemente ondulada
Corregimiento Norte (Galicia/La Mosca),0,561560729,4,168.5,9.51,Rural,0,Montañosa y Quebrada
Corregimiento Sur (Cabeceras),1,1647968613,5,222.4,14.62,Rural,1,Ondulada
Corregimiento Centro (Río Abajo),1,721610178,4,196.0,7.41,Rural,0,Ondulada
Corregimiento Norte (Galicia/La Mosca),1,642057243,2,162.8,12.54,Rural,0,Montañosa y Quebrada
Comuna 1 (Centro Histórico),0,335998453,3,73.5,1.72,Urbana,0,Mayormente Plana
Comuna 4 (El Porvenir),1,383048443,4,71.5,2.08,Urbana,1,Plana
Comuna 2 (San Antonio),1,427109352,4,55.4,3.15,Urbana,1,Plana
Corregimiento Norte (Galicia/La Mosca),1,1003117583,3,152.7,9.44,Rural,0,Montañosa y Quebrada
Corregimiento Sur (Cabeceras),1,1633580540,5,237.0,17.43,Rural,1,Ondulada
Comuna 1 (Centro Histórico),0,342325195,2,62.8,1.42,Urbana,0,Mayormente Plana
Comuna 3 (Uribe Jaramillo),1,243419738,3,51.1,1.76,Urbana,0,Plana y Ondulada
Comuna 1 (Centro Histórico),0,296719006,4,67.5,1.7,Urbana,0,Mayormente Plana
Comuna 1 (Centro Histórico),0,326079305,2,71.6,1.44,Urbana,0,Mayormente Plana
Comuna 4 (El Porvenir),1,343776953,3,65.5,2.84,Urbana,1,Plana
Comuna 2 (San Antonio),1,515055977,3,83.0,3.72,Urbana,1,Plana
Comuna 3 (Uribe Jaramillo),0,285277008,3,69.2,1.99,Urbana,0,Plana y Ondulada
Corregimiento Occidente (Llanogrande),0,3837106573,5,282.4,14.59,Rural,1,Plana y levemente ondulada
Corregimiento Occidente (Llanogrande),1,2991474037,6,358.0,12.7,Rural,1,Plana y levemente ondulada
Corregimiento Norte (Galicia/La Mosca),1,568972318,3,111.4,7.83,Rural,0,Montañosa y Quebrada
Comuna 1 (Centro Histórico),0,291939434,2,59.8,1.43,Urbana,1,Mayormente Plana
Corregimiento Centro (Río Abajo),0,683834025,4,164.7,4.21,Rural,1,Ondulada
Comuna 4 (El Porvenir),1,271294387,4,58.3,2.27,Urbana,1,Plana
Corregimiento Centro (Río Abajo),1,993788711,4,213.2,5.6,Rural,1,Ondulada
Comuna 4 (El Porvenir),1,275652581,4,63.5,2.27,Urbana,1,Plana
Corregimiento Occidente (Llanogrande),0,3287863539,5,386.1,12.83,Rural,1,Plana y levemente ondulada
